RaceEthnicity,PersonIdentifiers,IdentificationSystems,PersonIdentifierTypes,Birthdate,FirstName,MiddleName,LastName,GenerationCodeOrSuffix,Sex
"White,BlackOrAfricanAmerican,DemographicRaceTwoOrMoreRaces|AmericanIndianOrAlaskaNative",4134722983|3249647052|3541494580,HealthRecord|HealthRecord|HealthRecord,|NgvIEWbVuckjhbPiqDzr|QznpRdFhySiOAzlouriyxXpHQvWP,2011-09-11,Liam,Lynn,Martinez,II,NotSelected
"NativeHawaiianOrOtherPacificIslander,HispanicOrLatinoEthnicity,DemographicRaceTwoOrMoreRaces",4134722983|9784074856|729176876,EducatorID|Medicaid|School,|VDSTeSxQvFYoJfiKfCcTvbJiaaWMCkuTaGq|SBPslXBtfiGGRNhWFSoXXpUYUyhWanCqVFXdvhQ,1986-12-12,Michelle,James,Mitchell,,Male
"HispanicOrLatinoEthnicity,AmericanIndianOrAlaskaNative,HispanicOrLatinoEthnicity|BlackOrAfricanAmerican",4288411716|6804427893,Institution|Federal,sQpHGgBDouT|VamzlXAWfLBJoIPMbDUmoQNICFPBjzB,2000-12-06,James,F,Ramirez,III,Female
HispanicOrLatinoEthnicity,5750205489,Other,IlHfUzjrXnJ,2006-08-05,Donald,A,Adams,Jr,Female
NativeHawaiianOrOtherPacificIslander,1302528733,District,FwvqwiQWqSzxBbxXNYjAFwmOnvtgGOrpfGFsWa,1975-04-25,John,E,Garcia,,NotSelected
"DemographicRaceTwoOrMoreRaces,HispanicOrLatinoEthnicity|Asian,RaceAndEthnicityUnknown,AmericanIndianOrAlaskaNative",1521785056|2088055189,StateMigrant|PIN,uFTMgFPUHNiFoOwbdeUhHtuyPV|SCdCeBenCRczRhPKehxvGeNxJZrbabIbQbq,2007-10-27,Fatima,Lynn,Nelson,II,Male
"BlackOrAfricanAmerican,HispanicOrLatinoEthnicity",6470937693,District,PSXUfRPlOOwDXcGbDiHxvUHjlDZlFqIVHUBIDaQoar,2007-03-15,Mohammed,,Miller,Jr,NotSelected
"|DemographicRaceTwoOrMoreRaces,NativeHawaiianOrOtherPacificIslander,RaceAndEthnicityUnknown",7001043576,USVisa,YMBeMwSWXTcUsuFQNuJdWlXNnrcwCw,2009-04-01,Matthew,James,Moore,III,Female
"BlackOrAfricanAmerican,HispanicOrLatinoEthnicity",733469081|7757187506,State|Family,SwuUdcRNAdIQrYScdBFopFSqxOSBTXHGctHoUwFudXULN|snNQrVvdSYwMxElLnpCkpjPtZVYpVCrcQWKuxreXiDLabWUqc,2015-07-17,Mohammed,Lynn,Smith,,Female
DemographicRaceTwoOrMoreRaces,1860127183,,SBPslXBtfiGGRNhWFSoXXpUYUyhWanCqVFXdvhQ,1992-07-14,Michael,Ann,Wright,III,Male
"AmericanIndianOrAlaskaNative,Asian,RaceAndEthnicityUnknown|White,AmericanIndianOrAlaskaNative,DemographicRaceTwoOrMoreRaces",6880448400,StateMigrant,jWVzHyRBOXHoTMOgwgpjFLwhdjp,2009-05-29,Sophia,Paul,Young,II,Male
"White,HispanicOrLatinoEthnicity",7250442940,HealthRecord,kybijdbSnjzIuKqgqYvqVDKaOXvzZhTmFXVLvOGKPtazQAkr,2003-02-13,Kenneth,,Washington,,Male
"|BlackOrAfricanAmerican,DemographicRaceTwoOrMoreRaces|",7001043576|6365126870,SSN|Other,VpYgEczIXDWQtpchOgVF|qpUkxmFZPYAfFrV,2007-12-24,Mark,C,Green,V,NotSelected
"DemographicRaceTwoOrMoreRaces,White,DemographicRaceTwoOrMoreRaces|AmericanIndianOrAlaskaNative,RaceAndEthnicityUnknown|RaceAndEthnicityUnknown,BlackOrAfricanAmerican,White",4222796224,,VDSTeSxQvFYoJfiKfCcTvbJiaaWMCkuTaGq,2011-04-26,Mark,Ann,Baker,Jr,Male
"NativeHawaiianOrOtherPacificIslander,RaceAndEthnicityUnknown|HispanicOrLatinoEthnicity,Asian",3227538716|7837339019,|PIN,qjuiiIqAyEvL|PsujXLVGYNZirBJkZNsruNfAQ,2009-03-31,Karen,W,Lewis,IV,NotSelected
"NativeHawaiianOrOtherPacificIslander,BlackOrAfricanAmerican",9652268642|1713559300|9608112530,BirthCertificate|Family|NationalMigrant,qPEjLTHkPRjHzmzoDBhFnYQZajWWxZEoDkcwZE||QCvAXPHpFcZlIogmZDrCkJeHXbgMnIIvVkifW,2014-05-06,Donald,Marie,Ramirez,Sr,NotSelected
NativeHawaiianOrOtherPacificIslander|,7098529307|6804427893,District|StateMigrant,PHheLuhniFyAdcKZTLtVfCJtRcwAaEgTzaDWcGlKrociRo|KOPpgDFmFRXnEoDovaNRKi,2008-09-15,David,A,Garcia,II,Male
HispanicOrLatinoEthnicity,9022692014|7814926942,NationalMigrant|SelectiveService,HcEKzUpiprfiRkzaOPVOcjrJRlxKVfhMXDwtK|YPqLFjgXVYQwrhSTcPtlHmXgTTRPTd,1963-11-15,Mary,P,Brown,,Female
"White,DemographicRaceTwoOrMoreRaces",6403672817|133922944|5661692070,School|NationalMigrant|ProfessionalCertificate,UAADskMKtAjHudRNZNkopVHQSDfdRikLUTbhEOLEsbpyHM|MbmqpnkfpILvMJIOCbCUXqKhStEcUHHYwoyjbkqiBPtci|nKjwIiTMvnxzqiVDaeuChFbtLiEgqSWvcE,1958-10-16,Daniel,Rose,Williams,IV,NotSelected
"BlackOrAfricanAmerican,DemographicRaceTwoOrMoreRaces,DemographicRaceTwoOrMoreRaces",6915343287|7250442940|222643545,USVisa|ProfessionalCertificate|DriversLicense,HkeUVMCnzmlLXggpdYEM|BwoyTdYMQTEDDwrCICQJ|cDSlS,2005-01-19,Carlos,Grace,Roberts,III,Male
"BlackOrAfricanAmerican,AmericanIndianOrAlaskaNative|Asian,Asian",133922944|9860133827,SSN|Family,HMNOizesBPYqpVevGHNkSzrwsiiajqAHpDjGde|uVmznYHyUxTloMYuniMwpcvTSZgGkvTxxXyrIgBmLD,2014-10-29,Valentina,K,Hernandez,III,Male
"AmericanIndianOrAlaskaNative,Asian|DemographicRaceTwoOrMoreRaces|BlackOrAfricanAmerican",4274348618,DriversLicense,,2011-02-09,Steven,C,Garcia,Sr,Female
"DemographicRaceTwoOrMoreRaces,RaceAndEthnicityUnknown|BlackOrAfricanAmerican|Asian",3350803652,Federal,pOadiAiULhISMlUxFSBqWMKvUzecNLQiHWBSQm,1969-12-22,Mei-Ling,,Smith,Sr,NotSelected
"AmericanIndianOrAlaskaNative|NativeHawaiianOrOtherPacificIslander,HispanicOrLatinoEthnicity,AmericanIndianOrAlaskaNative|",7965575432|3615536330|3856438921,DriversLicense|EducatorID|Program,VpYgEczIXDWQtpchOgVF|isYoUwVPnRHJczHiHQbBPTQ|NJHZeJQYdpS,2002-08-19,Robert,K,Mitchell,IV,Male
"AmericanIndianOrAlaskaNative,White,Asian|Asian,RaceAndEthnicityUnknown|White",5818758028|7301299357,Federal|EducatorID,FZNNwoxTMHdHrBKQwbDaRalwnlJqxIOD|nKjwIiTMvnxzqiVDaeuChFbtLiEgqSWvcE,2015-05-08,James,C,Lopez,,NotSelected
"BlackOrAfricanAmerican,HispanicOrLatinoEthnicity,AmericanIndianOrAlaskaNative|DemographicRaceTwoOrMoreRaces|White",2900355735,ProfessionalCertificate,NCiMYDIkQmcjRkpdxGbLLtNNR,2006-05-08,Isabella,S,Martin,III,Female
"Asian|NativeHawaiianOrOtherPacificIslander,HispanicOrLatinoEthnicity|HispanicOrLatinoEthnicity,White",3894898150,District,bShfjJJnTtXVM,1976-06-23,Mei-Ling,Lee,Thompson,,Male
"RaceAndEthnicityUnknown,RaceAndEthnicityUnknown",6738253076|5832546435|7421761825,Family|USVisa|StateMigrant,|qlaqdoLREHruWarsxyMkKInbSYGDrkZtpqJbGiswZbY|wSghjNxYyIqgqdbeoZeVSQnPHZaVBfEZzzDkeETsWUWohL,1975-04-25,Sophia,Ann,Martin,II,NotSelected
"RaceAndEthnicityUnknown,NativeHawaiianOrOtherPacificIslander,White",7421761825|9677799580|8123399012,ProfessionalCertificate|School|USVisa,jGjlrTVFDUKTjh|YMBeMwSWXTcUsuFQNuJdWlXNnrcwCw|BwoyTdYMQTEDDwrCICQJ,1982-07-30,Patricia,L,Gonzalez,,NotSelected
"BlackOrAfricanAmerican|RaceAndEthnicityUnknown,DemographicRaceTwoOrMoreRaces,White",746873524|4085212098|7410839493,StateMigrant|BirthCertificate|StateMigrant,KQk|snNQrVvdSYwMxElLnpCkpjPtZVYpVCrcQWKuxreXiDLabWUqc|YMBeMwSWXTcUsuFQNuJdWlXNnrcwCw,1991-09-30,Jessica,C,Hernandez,V,Female
"HispanicOrLatinoEthnicity,HispanicOrLatinoEthnicity",9543273307,Family,skYnFWhHwPPRdZtDZXTrCorddeDfiASD,2015-09-22,Sophia,Ray,Harris,III,NotSelected
"BlackOrAfricanAmerican,Asian,AmericanIndianOrAlaskaNative|AmericanIndianOrAlaskaNative,NativeHawaiianOrOtherPacificIslander",826947767|5785363026|3155215024,Other|Institution|District,NCiMYDIkQmcjRkpdxGbLLtNNR|NVeLWTCVIfuWqTerMheXaUcQvfiWUmrjVKfQyL|aHtxgihTgphlvhRrIKnhJSHXB,2013-07-15,Emma,E,Adams,,Female
"NativeHawaiianOrOtherPacificIslander,Asian|HispanicOrLatinoEthnicity|NativeHawaiianOrOtherPacificIslander,HispanicOrLatinoEthnicity",2976086952|4466583537|6470937693,SelectiveService||CanadianSIN,sqtPETNwAICMAZhQrLMHhNkGolcagvkP|AktCeEqMJy|zSwDUGZRp,2009-09-19,Patricia,,Martinez,Sr,Female
"BlackOrAfricanAmerican,RaceAndEthnicityUnknown,White",7837339019|4247931679,Institution|EducatorID,|FwvqwiQWqSzxBbxXNYjAFwmOnvtgGOrpfGFsWa,1999-02-10,Aiden,W,Thomas,Sr,Male
"NativeHawaiianOrOtherPacificIslander,AmericanIndianOrAlaskaNative",7250442940|6639002241,StateMigrant|,qpUkxmFZPYAfFrV|,2019-06-24,James,F,Mitchell,,NotSelected
NativeHawaiianOrOtherPacificIslander,8951082595,Institution,HJqnfOFSWcsCBViJGrTdiFPEJuNonAMXz,1996-06-16,Valentina,,Brown,,Male
BlackOrAfricanAmerican,8306195514|1527799501,HealthRecord|School,MtImfcTLXHjxlxLlDEjRbjiXVlvifwrSdpChUqsYPSCqW|LdkkHaVkJWamQRZZQ,1956-12-09,Mary,Allen,Garcia,IV,Female
"Asian,White|Asian,Asian",3065233999|5069043107,Federal|CanadianSIN,bgakITkuQVwnwuQeEBRKybYuwqrENPcEIg|MbmqpnkfpILvMJIOCbCUXqKhStEcUHHYwoyjbkqiBPtci,2007-04-25,Sandra,Grace,Anderson,IV,NotSelected
"DemographicRaceTwoOrMoreRaces,RaceAndEthnicityUnknown,White|NativeHawaiianOrOtherPacificIslander,White|Asian,NativeHawaiianOrOtherPacificIslander,RaceAndEthnicityUnknown",7685145661|3146458781,SelectiveService|,FBLMmFN|WXvNhfOJgtfVcGbhrMBwmWMlpktkajHIpBhOjebDuBVSDq,2004-11-02,Mark,,Mitchell,V,Male
"AmericanIndianOrAlaskaNative,HispanicOrLatinoEthnicity|Asian,DemographicRaceTwoOrMoreRaces",4995469359,USVisa,QeSeROt,2013-08-25,Mary,M,Allen,,NotSelected
